Style No,Style Long Description,Back,Back,Back 2,Back 2,Back 2,Back 2,Edge,Edge,Edge,Edge,Edge 2,Edge 2,Edge 2,Edge 2,Front,Main,Main,Main,Main 2,Main 2,Main 2,Main 2,Model,Model,Model,Model,Model,Model,Model,Model 2,Profile,Profile,Top,Top,Assortment_Type,caratage_of_predom_mat_1,caratage_of_predom_mat_2,caratage_of_predom_mat_3,Closure Type,Commercial Reference,Country of Origin,Diamond Carat Weight,Fish_&_Wild,funct_hier_lvl4_item_shape,Gender,item_note,Launch Date - Wholesales (US),man_made_stones,measure_1,measure_3,measure_4,measure_5,merch_hier_lv2_sub_collection,merch_hier_lvl_collection,NFR Size Code,NRF_color_code,Predominant_Color_Descr,Primary Material,Product Description,Product Type,Retail Price,Retail Price - Dollar Sign,sales_life_cycle,season,Season Code,season_year,Size,stone_id_1,stone_id_2,stone_id_3,stone_id_4,supply_life_cycle,UPC Code,Variant No,Vendor Name,salsify:profile_asset_id
BB30001XM,"WOMEN's Dot Moon Phase Hammered Link Bracelet with Pusher Clasp, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--7vWKKoJg--/oo1bh3r76iodjar5as9w.jpg,,,,,,,,,,,,,,,,,,,NON CORE,,,,Pusher Clasp,BB30001XM,TH,0,No,Link,WOMEN,,2/15/2018,No,0,20.5,0,0,Dot,Dot,78014,,,Silver,Dot Moon Phase Link Bracelet in Hammered Silver,Bracelet,1195,$,Active,SPRING,S18,2018,M,,,,,Decline,8.25429E+12,BB30001,John Hardy,
BB30001XXL,"WOMEN's Dot Moon Phase Hammered Link Bracelet with Pusher Clasp, Size XL",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--7vWKKoJg--/oo1bh3r76iodjar5as9w.jpg,,,,,,,,,,,,,,,,,,,NON CORE,,,,Pusher Clasp,BB30001XM,TH,0,No,Link,WOMEN,,2/15/2018,No,0,20.5,0,0,Dot,Dot,,,,Silver,Dot Moon Phase Link Bracelet in Hammered Silver,Bracelet,1195,$,Active,SPRING,S18,2018,XL,,,,,Decline,8.25429E+12,BB30001,John Hardy,
BB34386XM,"WOMEN's Dot Silver Slim Chain Bracelet, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--chOYWMl4--/hkaji24jdb78lwtbspb4.jpg,http://images.salsify.com/image/upload/s--Y1W8R6Fd--/ociayi8w0jwpipes5rox.jpg,,,,,,,,,,,,,,,,,,CORE,,,,Pusher Clasp,BB34386XM,ID,0,No,Other,WOMEN,,10/25/2014,No,0,4.5,0,0,Dot,Dot,78014,,,Silver,Dot 4.5MM Bracelet in Silver,Bracelet,350,$,Active,FALL,F14,2014,M,,,,,Star,8.25429E+12,1_7_11834386,John Hardy,
BB34386XS,"WOMEN's Dot Silver Slim Chain Bracelet, Size S",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--chOYWMl4--/hkaji24jdb78lwtbspb4.jpg,http://images.salsify.com/image/upload/s--Y1W8R6Fd--/ociayi8w0jwpipes5rox.jpg,,,,,,,,,,,,,,,,,,CORE,,,,Pusher Clasp,BB34386XS,ID,0,No,Other,WOMEN,,10/25/2014,No,0,4.5,0,0,Dot,Dot,78013,,,Silver,Dot 4.5MM Bracelet in Silver,Bracelet,350,$,Active,FALL,F14,2014,S,,,,,Star,8.25429E+12,1_7_11834386,John Hardy,
BB3905XM,"WOMEN's Dot Silver Small Chain Bracelet with Pusher Clasp, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--vS5Mvgav--/rfscsmriuc37rvuinby6.jpg,http://images.salsify.com/image/upload/s--JAN6iPsc--/cpmu9vdzzrpv9pewfczf.jpg,,,,,,,,,,,,,,,,,,CORE,,,,Pusher Clasp,BB3905XM,ID,0,No,Other,WOMEN,,3/28/2016,No,0,6.5,0,0,Dot,Dot,78014,,,Silver,Dot 6.5MM Bracelet in Silver,Bracelet,395,$,Active,SPRING,S16,2016,M,,,,,Star,8.25429E+12,1_7_1183905,John Hardy,
BB3990XM,"WOMEN's Dot Silver Small Link Bracelet with Snap Clasp, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--X8Uf4OYi--/zmejyfslyqiusx7e2ljw.jpg,http://images.salsify.com/image/upload/s--SSu9hLKk--/kpywaidpin9rgdp9ecs4.jpg,,,,,,,,,,,,,,,,,,NON CORE,,,,Snap Clasp,BB3990XM,ID,0,No,Link,WOMEN,,3/15/2017,No,0,11.5,0,0,Dot,Dot,78014,,,Silver,Dot 11.5MM Link Bracelet in Silver,Bracelet,795,$,Active,SPRING,S17,2017,M,,,,,Decline,8.25429E+12,BB3990,John Hardy,
BB5694XM,"WOMEN's Bamboo Silver Slim Flex Bracelet, Size M",,,,,,,http://images.salsify.com/image/upload/s--Acgg53en--/baujpntb11cfcxvjws5z.jpg,http://images.salsify.com/image/upload/s--TAyDMnpx--/aklopca1ecx7anjfykho.jpg,,,,,,,,http://images.salsify.com/image/upload/s--uXLkD8Yw--/ietltpxj8vlvd0grdsfs.jpg,http://images.salsify.com/image/upload/s--sS_Q739n--/bnqvdxwuym3pvdyd79tg.jpg,,,,,,http://images.salsify.com/image/upload/s--84mlttIj--/he8pr8uf3ecmlyr9p9we.jpg,http://images.salsify.com/image/upload/s--RVjlCQH---/k9oenfpiv5rzvzlr7rn4.jpg,,,,,,,http://images.salsify.com/image/upload/s--ZmQPT-1b--/z6hmqwfdatukeziz260g.jpg,http://images.salsify.com/image/upload/s--Hj0bcsEz--/npcyaxivn3dwuggjspyd.jpg,,,CORE,,,,,BB5694XM,ID,0,No,Cuff,WOMEN,,1/19/2013,No,0,4,0,0,Bamboo,Bamboo,78014,,,Silver,Bamboo 4MM Cuff in Silver,Bracelet,350,$,Active,SPRING,S13,2013,M,,,,,Star,8.25429E+12,1_381_1185694,John Hardy,
BB5694XS,"WOMEN's Bamboo Silver Slim Flex Bracelet, Size S",,,,,,,http://images.salsify.com/image/upload/s--Acgg53en--/baujpntb11cfcxvjws5z.jpg,http://images.salsify.com/image/upload/s--TAyDMnpx--/aklopca1ecx7anjfykho.jpg,,,,,,,,http://images.salsify.com/image/upload/s--uXLkD8Yw--/ietltpxj8vlvd0grdsfs.jpg,http://images.salsify.com/image/upload/s--sS_Q739n--/bnqvdxwuym3pvdyd79tg.jpg,,,,,,http://images.salsify.com/image/upload/s--84mlttIj--/he8pr8uf3ecmlyr9p9we.jpg,http://images.salsify.com/image/upload/s--RVjlCQH---/k9oenfpiv5rzvzlr7rn4.jpg,,,,,,,http://images.salsify.com/image/upload/s--ZmQPT-1b--/z6hmqwfdatukeziz260g.jpg,http://images.salsify.com/image/upload/s--Hj0bcsEz--/npcyaxivn3dwuggjspyd.jpg,,,CORE,,,,,BB5694XS,ID,0,No,Cuff,WOMEN,,1/19/2013,No,0,4,0,0,Bamboo,Bamboo,78013,,,Silver,Bamboo 4MM Cuff in Silver,Bracelet,350,$,Active,SPRING,S13,2013,S,,,,,Star,8.25429E+12,1_381_1185694,John Hardy,
BB571312XM,"WOMEN's Bamboo Silver Set of 3 Slim Bangles, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--Pcq3wJqV--/in5wc2hfba5q1ifhsvpt.jpg,http://images.salsify.com/image/upload/s--ceHXIr5p--/gkwvesx2jg0c7abucagm.jpg,,,,,,http://images.salsify.com/image/upload/s--WFnB96ib--/n29vvskhxllk9fofuemy.jpg,http://images.salsify.com/image/upload/s--ROnBsqaY--/f6grq8l3cq1expzfuvzc.jpg,,,,,,,,,,,NON CORE,,,,,BB571312XM,ID,0,No,Bangle,WOMEN,,8/1/2007,No,0,10.5,0,0,Bamboo,Bamboo,78014,,,Silver,"Bamboo Bangles in Silver, Set of 3",Bracelet,495,$,Active,FALL,F03,2003,M,,,,,Star,8.25429E+12,1_381_608571312,John Hardy,
BB58126XM,"WOMEN's Bamboo Silver Hinged Bangle, Size M",,,,,,,http://images.salsify.com/image/upload/s--cWbab25s--/uuxjvudcefgzxs8mkya8.jpg,http://images.salsify.com/image/upload/s--cugLtzAu--/zgxqu9nst6sk90zdxxoz.jpg,,,,,,,,http://images.salsify.com/image/upload/s--0R6DdxKT--/jgddzialqf0eb34r5d13.jpg,http://images.salsify.com/image/upload/s--hnxrBwsg--/g7sfnamsatqrrwgbxt4h.jpg,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--LuT53Xko--/z6vikwvdb7rj1vmrhmef.jpg,http://images.salsify.com/image/upload/s--Yq8N7jdP--/j8zen8ezm5asvtvhz5ls.jpg,,,CORE,,,,Pusher Clasp,BB58126XM,ID,0,,Bangle,WOMEN,,9/5/2016,No,0,21.5,0,0,Bamboo,Bamboo,78014,,,Silver,Bamboo 21.5MM Hinged Bangle in Silver,Bracelet,558.5,$,Active,FALL,F16,2016,M,,,,,Star,8.25429E+12,BB58126,John Hardy,
