MPN,WEB ID,Designer,Web Price,Cost,Product Title,Collection,Watch Type,Case Shape,Case Diameter (MM),Gender,Movement Type,Bezel,Bezel Gemstone Information,Crystal,Dial,Dial Color,Dial Information,Movement Name,Water Resistancy (M),Type of Band,Bracelet/Strap Material,Clasp Type,Country of Origin,Stone ID,Total carat weight,Day/Date,Second Hand,Warranty Info,Product Description
WAZ1110.FT8023,LGHWAZ1110.FT8023,TAG HEUER,"$1,000",$550.00 ,TAG Heuer Formula 1 Quartz Watch,Formula 1,Quartz Watch,round,41mm,Male,Quartz,Unidirectional black titanium carbide coated steel turning bezel with raised fine-brushed shield and numerals,,Sapphire,Black opalin dial with printed minuterie on the flange,Black,"Curved and polished hand-applied indexes, “12” and “6” numerals with luminescent markers",,200,rubber strap,Black perforated rubber strap,Fine-brushed pin buckle,Switzerland,,,date,Yes,limited 2 year,The casual sports watch for a fast-paced life.
WAZ1110.BA0875,LGHWAZ1110.BA0875,TAG HEUER,"$1,200",$660.00 ,TAG Heuer Formula 1,Formula 1,Quartz Watch,round,41mm,Male,Quartz,Unidirectional black titanium carbide coated steel turning bezel with raised fine-brushed shield and numerals,,Sapphire,Black opalin dial with printed minuterie on the flange,Black,"Curved and polished hand-applied indexes, “12” and “6” numerals with luminescent markers",,200,steel bracelet,3-row fine-brushed steel bracelet,Fine-brushed steel double safety clasp and “racing suit” extension,Switzerland,,,date,Yes,limited 2 year,The casual sports watch for a fast-paced life.
WAZ1111.BA0875,LGHWAZ1111.BA0875,TAG HEUER,"$1,200",$660.00 ,TAG Heuer Formula 1,Formula 1,Quartz Watch,round,41mm,Male,Quartz,Unidirectional black titanium carbide coated steel turning bezel with raised fine-brushed shield and numerals,,Sapphire,White dial with printed minuterie on the flange,White,"Curved and polished hand-applied indexes, “12” and “6” numerals with luminescent markers",,200,steel bracelet,3-row fine-brushed steel bracelet,Fine-brushed steel double safety clasp and “racing suit” extension,Switzerland,,,date,Yes,limited 2 year,The casual sports watch for a fast-paced life.
WAZ1112.BA0875,LGHWAZ1112.BA0875,TAG HEUER,"$1,300",$715.00 ,TAG Heuer Formula 1,Formula 1,Quartz Watch,round,41mm,Male,Quartz,Unidirectional turning polished and fine-brushed steel bezel with engraved black shield and numerals,,Sapphire,Black opalin dial with printed minuterie on the flange,Black,"Curved and polished hand-applied indexes, “12” and “6” numerals with luminescent markers",,200,steel bracelet,3-row fine-brushed steel bracelet,Fine-brushed steel double safety clasp and “racing suit” extension,Switzerland,,,date,Yes,limited 2 year,The casual sports watch for a fast-paced life.
WAZ1010.BA0842,LGHWAZ1010.BA0842,TAG HEUER,"$1,300",$715.00 ,TAG Heuer Formula 1,Formula 1,Quartz Watch,round,43mm,Male,Quartz,"Unidirectional turning sandblasted, polished steel and mat blue aluminum bezel with silver shield and numerals",,Sapphire,Blue sunray dial with printed minuterie on the flange,Blue,"Curved and polished hand-applied indexes, “12” numeral with luminescent marker",,200,steel bracelet,3-row fine-brushed steel bracelet,Fine-brushed steel double safety clasp and “racing suit” extension,Switzerland,,,date,Yes,limited 2 year,The casual sports watch for a fast-paced life.
WAZ1010.FC8197,LGHWAZ1010.FC8197,TAG HEUER,"$1,150",$632.50 ,TAG Heuer Formula 1,Formula 1,Quartz Watch,round,43mm,Male,Quartz,"Unidirectional turning sandblasted, polished steel and mat blue aluminum bezel with silver shield and numerals",,Sapphire,Blue sunray dial with printed minuterie on the flange,Blue,"Curved and polished hand-applied indexes, “12” numeral with luminescent marker",,200,NATO strap,Blue NATO strap with blue and grey stripes,Fine-brushed steel double safety clasp and “racing suit” extension,Switzerland,,,date,Yes,limited 2 year,The casual sports watch for a fast-paced life.
WAZ1118.BA0875,LGHWAZ1118.BA0875,TAG HEUER,"$1,300",$715.00 ,TAG Heuer Formula 1,Formula 1,Quartz Watch,round,41mm,Male,Quartz,steel alternate finishing 60 minute scale unidirectional turning bezel,,Sapphire,blue sunray brushed dial with printed minuterie on the flange,blue,"Curved and polished hand-applied indexes, “12” and “6” numerals with luminescent markers",,200,steel bracelet,3-row fine-brushed steel bracelet,alternate finishing steel folding clasp with double safety system with diving extension,Switzerland,,,date,Yes,limited 2 year,The casual sports watch for a fast-paced life.
WAZ111A.BA0875,LGHWAZ111A.BA0875,TAG HEUER,"$1,400",$770.00 ,TAG Heuer Formula 1 Alarm Watch,Formula 1,Quartz Watch,round,41mm,Male,Quartz,Fine-brushed and polished steel fixed bezel with engraved black shield and numerals,,Sapphire,Black opalin dial with printed minuterie on the flange and Alarm function at 9 o’clock,Black,Curved and polished hand-applied indexes and “12” numeral with luminescent markers,,200,steel bracelet,3-row fine-brushed steel bracelet,Fine-brushed steel double safety clasp and “racing suit” extension,Switzerland,,,date,Yes,limited 2 year,The casual sports watch for a fast-paced life.
WAZ1120.BB0879,LGHWAZ1120.BB0879,TAG HEUER,"$2,000","$1,100.00",TAG Heuer Formula 1 Steel & Gold Watch,Formula 1,Quartz Watch,round,41mm,Male,Quartz,Unidirectional turning polished yellow gold plated steel bezel with a blue aluminum ring and yellow gold colored shield and numerals,,Sapphire,Blue dial with “sunray” effect with printed minuterie on the flange,Blue,"Curved and polished yellow gold plated hand-applied indexes, “12” and “6” numerals with
luminescent markers",,200,steel bracelet,3-row fine-brushed and polished steel and yellow gold plated bracelet,Fine-brushed steel double safety clasp and “racing suit” extension,Switzerland,,,date,Yes,limited 2 year,The casual sports watch for a fast-paced life.
WAZ1119.FT8023,LGHWAZ1119.FT8023,TAG HEUER,"$1,250",$687.50 ,TAG Heuer Formula 1 - ALEC MONOPOLY SPECIAL EDITION,Formula 1,Quartz Watch,round,41mm,Male,Quartz,steel black PVD alternate finishing 60 minute scale unidirectional turning bezel,,Sapphire,black opalin dial with black flange with 60 second,black,rhodium plated polished applied indexes with white superluminova®,,200,black rubber strap,black rubber strap,brushed steel pin buckle,Switzerland,,,date,Yes,limited 2 year,Designed by Alec Monopoly
